=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.01.03 20:51:55 =~=~=~=~=~=~=~=~=~=~=~=
unkÿunknown command
Changed active channel to 1
0x580a -1.9471492 0x6978 -1.9529629
0x580b -1.9469584 0x6979 -1.9525731
0x580c -1.9467677 0x6977 -1.9533539
0x580d -1.9465768 0x6978 -1.9529629
0x580e -1.9463861 0x6979 -1.9525731
0x580f -1.9461954 0x6977 -1.9533539
0x5810 -1.9460046 0x697a -1.9521821
0x5811 -1.9458139 0x697b -1.9517910
0x5812 -1.9456232 0x697b -1.9517910
0x5813 -1.9454324 0x697b -1.9517910
0x5814 -1.9452417 0x697e -1.9506204
0x5815 -1.9450510 0x697c -1.9514012
0x5816 -1.9448602 0x697e -1.9506204
0x5817 -1.9446695 0x697e -1.9506204
0x5818 -1.9444788 0x697e -1.9506204
0x5819 -1.9442880 0x697b -1.9517910
0x581a -1.9440973 0x697e -1.9506204
0x581b -1.9439065 0x697e -1.9506204
0x581c -1.9437158 0x6980 -1.9498384
0x581d -1.9435251 0x6981 -1.9494486
0x581e -1.9433343 0x6982 -1.9490576
0x581f -1.9431436 0x6980 -1.9498384
0x5820 -1.9429529 0x6982 -1.9490576
0x5821 -1.9427621 0x6982 -1.9490576
0x5822 -1.9425714 0x6981 -1.9494486
0x5823 -1.9423807 0x6983 -1.9486666
0x5824 -1.9421899 0x6982 -1.9490576
0x5825 -1.9419992 0x6984 -1.9482756
0x5826 -1.9418085 0x6984 -1.9482756
0x5827 -1.9416177 0x6986 -1.9474947
0x5828 -1.9414270 0x6985 -1.9478858
0x5829 -1.9412363 0x6985 -1.9478858
0x582a -1.9410455 0x6987 -1.9471037
0x582b -1.9408548 0x6989 -1.9463229
0x582c -1.9406641 0x6986 -1.9474947
0x582d -1.9404733 0x6988 -1.9467139
0x582e -1.9402826 0x6989 -1.9463229
0x582f -1.9400918 0x6988 -1.9467139
0x5830 -1.9399011 0x6989 -1.9463229
0x5831 -1.9397104 0x698a -1.9459319
0x5832 -1.9395196 0x698a -1.9459319
0x5833 -1.9393289 0x6989 -1.9463229
0x5834 -1.9391382 0x698a -1.9459319
0x5835 -1.9389474 0x698c -1.9451511
0x5836 -1.9387567 0x698d -1.9447601
0x5837 -1.9385660 0x698c -1.9451511
0x5838 -1.9383752 0x698b -1.9455421
0x5839 -1.9381845 0x698c -1.9451511
0x583a -1.9379936 0x698e -1.9443703
0x583b -1.9378029 0x698f -1.9439793
0x583c -1.9376122 0x698e -1.9443703
0x583d -1.9374214 0x698f -1.9439793
0x583e -1.9372307 0x698d -1.9447601
0x583f -1.9370400 0x698c -1.9451511
0x5840 -1.9368492 0x6990 -1.9435883
0x5841 -1.9366585 0x698f -1.9439793
0x5842 -1.9364678 0x698f -1.9439793
0x5843 -1.9362770 0x698f -1.9439793
0x5844 -1.9360863 0x6992 -1.9428074
0x5845 -1.9358956 0x6995 -1.9416356
0x5846 -1.9357048 0x6994 -1.9420254
0x5847 -1.9355141 0x6993 -1.9424164
0x5848 -1.9353234 0x6993 -1.9424164
0x5849 -1.9351326 0x6995 -1.9416356
0x584a -1.9349419 0x6994 -1.9420254
0x584b -1.9347512 0x6995 -1.9416356
0x584c -1.9345604 0x6996 -1.9412446
0x584d -1.9343697 0x6997 -1.9408536
0x584e -1.9341789 0x6996 -1.9412446
0x584f -1.9339882 0x6999 -1.9400728
0x5850 -1.9337975 0x699a -1.9396818
0x5851 -1.9336067 0x6999 -1.9400728
0x5852 -1.9334160 0x699a -1.9396818
0x5853 -1.9332253 0x699a -1.9396818
0x5854 -1.9330345 0x699b -1.9392920
0x5855 -1.9328438 0x699b -1.9392920
0x5856 -1.9326531 0x699b -1.9392920
0x5857 -1.9324623 0x699a -1.9396818
0x5858 -1.9322716 0x699a -1.9396818
0x5859 -1.9320809 0x699c -1.9389009
0x585a -1.9318901 0x699c -1.9389009
0x585b -1.9316994 0x699c -1.9389009
0x585c -1.9315087 0x69a0 -1.9373393
0x585d -1.9313178 0x699d -1.9385111
0x585e -1.9311271 0x699b -1.9392920
0x585f -1.9309363 0x699d -1.9385111
0x5860 -1.9307456 0x699e -1.9381189
0x5861 -1.9305549 0x69a0 -1.9373393
0x5862 -1.9303641 0x69a2 -1.9365573
0x5863 -1.9301734 0x69a1 -1.9369471
0x5864 -1.9299827 0x699f -1.9377291
0x5865 -1.9297919 0x69a2 -1.9365573
0x5866 -1.9296012 0x69a1 -1.9369471
0x5867 -1.9294105 0x69a2 -1.9365573
0x5868 -1.9292197 0x69a3 -1.9361663
0x5869 -1.9290290 0x69a4 -1.9357765
0x586a -1.9288383 0x69a4 -1.9357765
0x586b -1.9286475 0x69a4 -1.9357765
0x586c -1.9284568 0x69a5 -1.9353855
0x586d -1.9282660 0x69a6 -1.9349945
0x586e -1.9280753 0x69a7 -1.9346046
0x586f -1.9278846 0x69a4 -1.9357765
0x5870 -1.9276938 0x69a8 -1.9342136
0x5871 -1.9275031 0x69a8 -1.9342136
0x5872 -1.9273124 0x69a8 -1.9342136
0x5873 -1.9271216 0x69a8 -1.9342136
0x5874 -1.9269309 0x69a9 -1.9338226
0x5875 -1.9267402 0x69a9 -1.9338226
0x5876 -1.9265494 0x69a9 -1.9338226
0x5877 -1.9263587 0x69ab -1.9330418
0x5878 -1.9261680 0x69ab -1.9330418
0x5879 -1.9259772 0x69aa -1.9334328
0x587a -1.9257865 0x69a9 -1.9338226
0x587b -1.9255958 0x69ad -1.9322610
0x587c -1.9254050 0x69ab -1.9330418
0x587d -1.9252143 0x69ae -1.9318700
0x587e -1.9250236 0x69ae -1.9318700
0x587f -1.9248328 0x69ad -1.9322610
0x5880 -1.9246421 0x69ad -1.9322610
0x5881 -1.9244514 0x69b1 -1.9306982
0x5882 -1.9242606 0x69b1 -1.9306982
0x5883 -1.9240699 0x69b1 -1.9306982
0x5884 -1.9238791 0x69b2 -1.9303072
